Transaction Date,Payment Ref,Payer Name,Open ID,Product Name,Insurance Company,Policy Number,Coverage Period,Currency,Charge Amount,Promotion Type,Status
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605780,08/01/2021 to 02/01/2022,SGD,3.48,Free Policy,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605839,08/01/2021 to 02/01/2022,SGD,0.10,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605824,08/01/2021 to 02/01/2022,SGD,0.30,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605844,08/01/2021 to 02/01/2022,SGD,0.30,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605933,08/01/2021 to 02/01/2022,SGD,0.10,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605973,08/01/2021 to 02/01/2022,SGD,0.50,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605913,08/01/2021 to 02/01/2022,SGD,0.50,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605884,08/01/2021 to 02/01/2022,SGD,0.50,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605819,08/01/2021 to 02/01/2022,SGD,0.50,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605928,08/01/2021 to 02/01/2022,SGD,0.30,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605953,08/01/2021 to 02/01/2022,SGD,0.10,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605859,08/01/2021 to 02/01/2022,SGD,0.10,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605864,08/01/2021 to 02/01/2022,SGD,0.30,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605879,08/01/2021 to 02/01/2022,SGD,0.50,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605795,08/01/2021 to 02/01/2022,SGD,0.30,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605804,08/01/2021 to 02/01/2022,SGD,0.30,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605899,08/01/2021 to 02/01/2022,SGD,0.30,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605908,08/01/2021 to 02/01/2022,SGD,0.31,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC000000605948,10/04/2019 to 04/04/2020,SGD,0.30,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW13456,Critical Illness (Pay per trip),Income,GC000000605968,08/01/2021 to 02/01/2022,SGD,0.30,none,PAID
01/04/2019 10:00,151903312601308876,Kiran Dev,DW123456,Critical Illness (Pay per trip),Income,GC100000605988,08/01/2021 to 02/01/2022,SGD,0.30,none,PAID
