Transaction Date,Payment Ref,Payer Name,Open ID,Product Name,Insurance Company,Policy Number,Coverage Period,Currency,Charge Amount,Promotion Type,Status
23/07/2019 09:31,402000000000000000,TEST Arjun,267027,ProductName,Insurance Company,GC000000753606,20/08/2019 to 14/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,267027,ProductName,Insurance Company,GC000000474428,20/08/2019 to 14/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,267027,ProductName,Insurance Company,GC000000577511,20/08/2019 to 14/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,267027,ProductName,Insurance Company,GC000000137203,20/08/2019 to 14/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,627924,ProductName,Insurance Company,GC000000407934,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000104094,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,283764,ProductName,Insurance Company,GC000000555463,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,267027,ProductName,Insurance Company,GC000000355433,20/08/2019 to 14/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000985625,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,627924,ProductName,Insurance Company,GC000000891687,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,267027,ProductName,Insurance Company,GC000000476436,20/08/2019 to 14/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,627924,ProductName,Insurance Company,GC000000481894,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,283764,ProductName,Insurance Company,GC000000592966,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,267027,ProductName,Insurance Company,GC000000932027,20/08/2019 to 14/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,267027,ProductName,Insurance Company,GC000000310787,20/08/2019 to 14/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000941457,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,267027,ProductName,Insurance Company,GC000000869254,20/08/2019 to 14/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,267027,ProductName,Insurance Company,GC000000985861,20/08/2019 to 14/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,627924,ProductName,Insurance Company,GC000000248632,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,627924,ProductName,Insurance Company,GC000000644464,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,283764,ProductName,Insurance Company,GC000000973620,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,267027,ProductName,Insurance Company,GC000000195745,20/08/2019 to 14/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,283764,ProductName,Insurance Company,GC000000112861,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,267027,ProductName,Insurance Company,GC000000121462,20/08/2019 to 14/08/2020,SGD,0.5,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,267027,ProductName,Insurance Company,GC000000121848,20/08/2019 to 14/08/2020,SGD,0.5,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000206039,09/01/2019 to 04/01/2020,SGD,5.33,Free Policy,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000399751,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,266429,ProductName,Insurance Company,GC000000399751,03/08/2019 to 28/07/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000194660,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000906043,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000213224,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000348875,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000969877,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC00000076431,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000434118,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000352693,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000889930,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000602035,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000809135,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,627924,ProductName,Insurance Company,GC000000809135,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000515010,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000351980,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC00000069804,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000249802,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000636131,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000964118,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC00000094914,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC00000019814,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000782179,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000457940,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000518833,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000267220,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000754796,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000144683,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000187235,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000857391,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000125097,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC00000072161,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000397884,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000672309,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC00000043553,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC00000064207,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000172085,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000972140,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000144828,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000283007,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000181987,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000926255,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000939143,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000430910,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000556970,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000112331,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC00000066964,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000509840,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000816768,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000266348,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000669379,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000974830,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000194187,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000387139,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000322916,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000141468,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000575571,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000668385,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000987219,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000424784,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000317986,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000964322,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000303853,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000356127,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000418278,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC00000026011,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000443311,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000521624,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000688591,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000941306,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000807595,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000652716,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000218888,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000439197,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000287409,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000717427,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000814246,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000977984,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000445801,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC00000010468,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000283190,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000826801,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000954208,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000920881,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000423022,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000671268,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000842239,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000267917,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000299122,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000626603,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000639077,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000838934,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000947385,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000925325,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000282284,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC00000037574,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000942462,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000961696,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000748864,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000356098,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000369178,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000821363,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000723803,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000722709,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000610506,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000902165,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000262906,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000642816,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC00000022663,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000740915,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000329592,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000452656,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC0000006403,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000700940,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000289426,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000934303,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000203301,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000746502,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC000000931509,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
23/07/2019 09:31,402000000000000000,TEST Arjun,206039,ProductName,Insurance Company,GC0000003045,19/08/2019 to 13/08/2020,SGD,0.1,none,PAID
