Transaction Date,Payment Ref,Payer Name,Open ID,Product Name,Insurance Company,Policy Number,Coverage Period,Currency,Charge Amount,Promotion Type,Status
23/07/2019 09:31,20191021,TEST Arjun,726815,ProductName,Insurance Company,GC021175611700,21/10/2019 to 15/10/2020,SGD,5.33,Free Policy,PAID
23/07/2019 09:31,20191021,TEST Arjun,238128,ProductName,Insurance Company,GC021175611512,21/10/2019 to 15/10/2020,SGD,5.33,Free Policy,PAID
23/07/2019 09:31,20191021,TEST Arjun,244500,ProductName,Insurance Company,GC021175611679,21/10/2019 to 15/10/2020,SGD,5.33,Free Policy,PAID
23/07/2019 09:31,20191021,TEST Arjun,414535,ProductName,Insurance Company,GC021175611649,21/10/2019 to 15/10/2020,SGD,5.33,Free Policy,PAID
23/07/2019 09:31,20191021,TEST Arjun,932339,ProductName,Insurance Company,GC021175611585,21/10/2019 to 15/10/2020,SGD,5.33,Free Policy,PAID
23/07/2019 09:31,20191021,TEST Arjun,726815,ProductName,Insurance Company,GC880088996952,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,238128,ProductName,Insurance Company,GC880094672238,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,726815,ProductName,Insurance Company,GC880010311525,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,238128,ProductName,Insurance Company,GC880050651726,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,726815,ProductName,Insurance Company,GC880090333158,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,238128,ProductName,Insurance Company,GC880090437205,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,726815,ProductName,Insurance Company,GC880012960170,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,238128,ProductName,Insurance Company,GC880079691728,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,726815,ProductName,Insurance Company,GC880044330584,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,238128,ProductName,Insurance Company,GC880096997160,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,726815,ProductName,Insurance Company,GC880019541535,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,238128,ProductName,Insurance Company,GC880014026789,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,726815,ProductName,Insurance Company,GC880054907306,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,238128,ProductName,Insurance Company,GC880095550242,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,726815,ProductName,Insurance Company,GC880074688859,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,238128,ProductName,Insurance Company,GC880084919796,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,726815,ProductName,Insurance Company,GC880068234198,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,238128,ProductName,Insurance Company,GC880094910859,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,726815,ProductName,Insurance Company,GC880010616032,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,238128,ProductName,Insurance Company,GC880019629214,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
23/07/2019 09:31,20191021,TEST Arjun,726815,ProductName,Insurance Company,GC880086902313,21/10/2019 to 15/10/2020,SGD,0.1,none,PAID
