"Transaction Date","Payment Ref","Payer Name","Open ID","Product Name","Insurance Company","Policy Number","Coverage Period",Currency,"Charge Amount","Promotion Type",Status
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001489069,"30/05/2022 to 24/05/2023",SGD,0.30,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001489143,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001489376,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001489490,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001489569,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001489658,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001489727,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001489801,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001489856,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002370261,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002370474,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002370607,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002370781,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002370885,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002370890,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
"2022-05-30 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002370949,"30/05/2022 to 24/05/2023",SGD,0.10,none,PAID
