"Transaction Date","Payment Ref","Payer Name","Open ID","Product Name","Insurance Company","Policy Number","Coverage Period",Currency,"Charge Amount","Promotion Type",Status
"2023-07-17 10:17:45",40200000000000,"TEST Arjun",36040695587,ProductName,"Insurance Company",GC522775391084,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:45",40200000000000,"TEST Arjun",86702873551,ProductName,"Insurance Company",GC522005203563,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:45",40200000000000,"TEST Arjun",19937384056,ProductName,"Insurance Company",GC523954541101,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:45",40200000000000,"TEST Arjun",59475603733,ProductName,"Insurance Company",GC523716386951,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:44",40200000000000,"TEST Arjun",60672536328,ProductName,"Insurance Company",GC524907703750,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:44",40200000000000,"TEST Arjun",54746330426,ProductName,"Insurance Company",GC525238192183,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:44",40200000000000,"TEST Arjun",26127453196,ProductName,"Insurance Company",GC521727981110,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:43",40200000000000,"TEST Arjun",63605059164,ProductName,"Insurance Company",GC521417360308,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:43",40200000000000,"TEST Arjun",82483681621,ProductName,"Insurance Company",GC523182668906,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:43",40200000000000,"TEST Arjun",88184868204,ProductName,"Insurance Company",GC524623682659,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:43",40200000000000,"TEST Arjun",67512013288,ProductName,"Insurance Company",GC524604372750,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:43",40200000000000,"TEST Arjun",76482043086,ProductName,"Insurance Company",GC529909116707,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:43",40200000000000,"TEST Arjun",83937441606,ProductName,"Insurance Company",GC527896384803,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:43",40200000000000,"TEST Arjun",81060120638,ProductName,"Insurance Company",GC526148550739,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:43",40200000000000,"TEST Arjun",74922224787,ProductName,"Insurance Company",GC524632957305,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:42",40200000000000,"TEST Arjun",72979370533,ProductName,"Insurance Company",GC522608122440,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
"2023-07-17 10:17:42",40200000000000,"TEST Arjun",32143802012,ProductName,"Insurance Company",GC525673679429,"17/07/2023 to 11/07/2024",SGD,0.50,none,PAID
