"Transaction Date","Payment Ref","Payer Name","Open ID","Product Name","Insurance Company","Policy Number","Coverage Period",Currency,"Charge Amount","Promotion Type",Status
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5252698,ProductName,"Insurance Company",GC522293313237,"30/12/2021 to 25/12/2022",SGD,0.10,none,PAID
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5252698,ProductName,"Insurance Company",GC525070014865,"30/12/2021 to 25/12/2022",SGD,0.30,none,PAID
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5252698,ProductName,"Insurance Company",GC523321185511,"30/12/2021 to 25/12/2022",SGD,0.30,none,PAID
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5265698,ProductName,"Insurance Company",GC525502623408,"30/12/2021 to 25/12/2022",SGD,0.10,none,PAID
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5265698,ProductName,"Insurance Company",GC529990842521,"30/12/2021 to 25/12/2022",SGD,0.30,none,PAID
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5265698,ProductName,"Insurance Company",GC52712813136,"30/12/2021 to 25/12/2022",SGD,0.30,"Free Policy",PAID
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5265698,ProductName,"Insurance Company",GC521411781919,"30/12/2021 to 25/12/2022",SGD,0.50,"Free Policy",PAID
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5230438,ProductName,"Insurance Company",GC52480098211,"30/12/2021 to 25/12/2022",SGD,0.30,"Free Policy",PAID
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5230438,ProductName,"Insurance Company",GC525611492717,"30/12/2021 to 25/12/2022",SGD,0.50,"Free Policy",PAID
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5252698,ProductName,"Insurance Company",GC52527422145,"30/12/2021 to 25/12/2022",SGD,0.30,"Free Policy",PAID
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5252698,ProductName,"Insurance Company",GC527601703421,"30/12/2021 to 25/12/2022",SGD,0.50,"Free Policy",PAID
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5230438,ProductName,"Insurance Company",GC525012975229,"30/12/2021 to 25/12/2022",SGD,0.10,none,PAID
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5230438,ProductName,"Insurance Company",GC522534561920,"30/12/2021 to 25/12/2022",SGD,0.30,none,PAID
"2021-12-30 00:00:00",40200000000000,"TEST Arjun",5230438,ProductName,"Insurance Company",GC523675744817,"30/12/2021 to 25/12/2022",SGD,0.30,none,PAID
