Transaction Date,Payment Ref,Payer Name,Open ID,Product Name,Insurance Company,Policy Number,Coverage Period,Currency,Charge Amount,Promotion Type,Status
23/07/2019 09:31,4.02E+17,TEST Arjun,896428,ProductName,Insurance Company,GC88201524508523146,10/09/2019 to 03/09/2020,SGD,0.5,none,PAID
23/07/2019 09:31,4.02E+17,TEST Arjun,896428,ProductName,Insurance Company,GC88201533239457937,10/09/2019 to 03/09/2020,SGD,0.5,none,PAID
23/07/2019 09:31,4.02E+17,TEST Arjun,896428,ProductName,Insurance Company,GC88201537977883540,10/09/2019 to 03/09/2020,SGD,0.5,none,PAID
23/07/2019 09:31,4.02E+17,TEST Arjun,896428,ProductName,Insurance Company,GC88201542651898205,10/09/2019 to 03/09/2020,SGD,0.5,none,PAID
23/07/2019 09:31,4.02E+17,TEST Arjun,896428,ProductName,Insurance Company,GC88201547346884348,10/09/2019 to 03/09/2020,SGD,0.5,none,PAID
23/07/2019 09:31,4.02E+17,TEST Arjun,896428,ProductName,Insurance Company,GC88202303480920064,08/12/2019 to 01/12/2020,SGD,0.5,none,PAID
23/07/2019 09:31,4.02E+17,TEST Arjun,896428,ProductName,Insurance Company,GC88202308399257577,08/12/2019 to 01/12/2020,SGD,0.5,none,PAID
23/07/2019 09:31,4.02E+17,TEST Arjun,896428,ProductName,Insurance Company,GC88202312955293220,08/12/2019 to 01/12/2020,SGD,0.5,none,PAID
23/07/2019 09:31,4.02E+17,TEST Arjun,896428,ProductName,Insurance Company,GC88202317645793576,08/12/2019 to 01/12/2020,SGD,0.5,none,PAID
23/07/2019 09:31,4.02E+17,TEST Arjun,896428,ProductName,Insurance Company,GC88202322189362712,08/12/2019 to 01/12/2020,SGD,0.5,none,PAID
23/07/2019 09:31,4.02E+17,TEST Arjun,896428,ProductName,Insurance Company,GC88202349737171991,17/06/2020 to 11/06/2021,SGD,0.5,none,PAID
23/07/2019 09:31,4.02E+17,TEST Arjun,896428,ProductName,Insurance Company,GC88202354473153111,17/06/2020 to 11/06/2021,SGD,0.5,none,PAID
